period,type,entry,exit,pnl_pct,result,rr
2026-03-05,short,612.7275044759115,608.7624938964843,0.6513230724922714,target,6.666666666666667
2026-03-05,long,608.7624938964843,608.4574930826823,-0.05010177480708755,stop,13.00000000000149
2026-03-05,long,608.7624938964843,608.4574930826823,-0.05010177480708755,stop,13.00000000000149
2026-03-06,long,604.185009765625,602.435009765625,-0.28964637846259356,stop,3.800000000000052
2026-03-06,long,604.185009765625,602.435009765625,-0.28964637846259356,stop,3.800000000000052
2026-03-06,long,604.185009765625,602.435009765625,-0.28964637846259356,stop,3.800000000000052
2026-03-09,long,600.7829935709635,599.2589945475261,-0.25366880217081444,stop,3.000000000000149
2026-03-09,long,600.7829935709635,599.2589945475261,-0.25366880217081444,stop,3.000000000000149
2026-03-09,long,600.7829935709635,599.2589945475261,-0.25366880217081444,stop,3.000000000000149
2026-03-09,long,600.7829935709635,605.3549906412761,0.7610064065124877,target,3.000000000000149
2026-03-11,long,608.1710205078125,612.3630777994792,0.6892892213388402,target,2.666666666666715
2026-03-11,long,608.1710205078125,606.5989990234375,-0.25848345800205674,stop,2.666666666666715
2026-03-11,long,608.1710205078125,606.5989990234375,-0.25848345800205674,stop,2.666666666666715
2026-03-11,long,608.1710205078125,606.5989990234375,-0.25848345800205674,stop,2.666666666666715
2026-03-11,long,608.1710205078125,606.5989990234375,-0.25848345800205674,stop,2.666666666666715
2026-03-11,long,608.1710205078125,607.72998046875,-0.07251908167117405,time_exit,2.666666666666715
2026-03-13,long,597.8759897867839,600.7079966227213,0.4736779673904401,target,5.999999999999277
2026-03-13,short,600.7079966227213,601.4159983317057,-0.11772246015210319,stop,3.9999999999998392
2026-03-13,short,600.7079966227213,597.8759897867839,0.4736779673904401,target,3.9999999999998392
2026-03-20,short,591.5853352864583,589.260009765625,0.39461790759536264,target,7.999999999998436
2026-03-20,short,591.5853352864583,589.260009765625,0.39461790759536264,target,7.999999999998436
2026-03-23,short,590.9398569742839,588.1699829101562,0.4709308779109689,time_exit,6.666666666666895
2026-03-24,long,587.0240214029948,586.7200215657551,-0.0517866094326247,stop,14.999999999997009
2026-03-25,short,586.0331624348958,587.2311604817708,-0.20400791502483973,stop,2.333333333333207
2026-03-25,short,586.0331624348958,587.2311604817708,-0.20400791502483973,stop,2.333333333333207
2026-03-25,short,586.0331624348958,587.2311604817708,-0.20400791502483973,stop,2.333333333333207
2026-03-30,long,561.7275075276693,560.8297563680013,-0.15981968973164395,stop,6.666666666666329
2026-03-31,short,565.344644165039,565.759310913086,-0.07329384422817276,stop,15.999999999994516
2026-04-02,long,582.4937082926433,582.0057729085286,-0.08376663595988099,stop,7.49999999999767
2026-04-02,long,582.4937082926433,582.0057729085286,-0.08376663595988099,stop,7.49999999999767
2026-04-02,long,582.4937082926433,582.0057729085286,-0.08376663595988099,stop,7.49999999999767
2026-04-02,long,582.4937082926433,582.0057729085286,-0.08376663595988099,stop,7.49999999999767
2026-04-02,long,582.4937082926433,582.0057729085286,-0.08376663595988099,stop,7.49999999999767
2026-04-02,long,582.4937082926433,584.9600219726562,0.42340606343063136,time_exit,7.49999999999767
2026-04-06,short,585.755430094401,586.881025797526,-0.1917928257427315,stop,6.666666666666734
2026-04-06,short,585.755430094401,586.881025797526,-0.1917928257427315,stop,6.666666666666734
2026-04-06,short,585.755430094401,586.881025797526,-0.1917928257427315,stop,6.666666666666734
2026-04-07,long,586.564663696289,588.340658569336,0.3027790426131993,target,3.0
2026-04-09,long,604.0675048828125,603.2925048828124,-0.12829691942300991,stop,3.9999999999994134
2026-04-09,long,604.0675048828125,607.1675048828124,0.513187677691973,target,3.9999999999994134
2026-04-10,short,610.3755004882812,611.085147705078,-0.11612902382948098,stop,6.66666666666688
2026-04-10,short,610.3755004882812,611.085147705078,-0.11612902382948098,stop,6.66666666666688
2026-04-10,short,610.3755004882812,611.085147705078,-0.11612902382948098,stop,6.66666666666688
2026-04-13,long,610.1935119628906,612.2384948730469,0.33513678367014244,target,7.5000000000020846
2026-04-13,long,610.1935119628906,612.2384948730469,0.33513678367014244,target,7.5000000000020846
2026-04-13,short,612.2384948730469,612.9201558430989,-0.1112152967321367,stop,3.0000000000003335
2026-04-16,short,636.8625233968098,637.7130244954426,-0.1333673715235295,stop,6.666666666666845
2026-04-16,short,636.8625233968098,637.7130244954426,-0.1333673715235295,stop,6.666666666666845
2026-04-20,long,646.7385040283203,646.5408376057943,-0.03056357728739023,stop,13.000000000000576
2026-04-20,short,649.3081675211588,646.7385040283203,0.3973265047361396,target,4.333333333332694
2026-04-21,short,646.9848388671876,644.9081787109376,0.32200865561990977,target,10.000000000004379
2026-04-21,short,646.9848388671876,647.1925048828125,-0.03208720961045408,stop,10.000000000004379
2026-04-21,short,646.9848388671876,647.1925048828125,-0.03208720961045408,stop,10.000000000004379
2026-04-21,short,646.9848388671876,644.9081787109376,0.32200865561990977,target,10.000000000004379
2026-04-21,long,644.9081787109376,646.9848388671876,0.32200865561990977,target,9.999999999993431
2026-04-21,long,644.9081787109376,644.7005126953125,-0.0322008655620154,stop,9.999999999993431
2026-04-23,short,654.9895172119141,655.4662170410156,-0.07272683423007464,stop,6.666666666666508
2026-04-23,short,654.9895172119141,655.4662170410156,-0.07272683423007464,stop,6.666666666666508
2026-04-23,short,654.9895172119141,655.4662170410156,-0.07272683423007464,stop,6.666666666666508
2026-04-23,short,654.9895172119141,655.4662170410156,-0.07272683423007464,stop,6.666666666666508
2026-04-23,long,651.811518351237,651.5845184326172,-0.03482600601997232,stop,13.999999999994992
2026-04-27,short,664.3770111083984,664.27001953125,0.016106639469271045,time_exit,6.666666666666139
2026-04-29,short,658.1825103759766,658.9598459879558,-0.11796403327334337,stop,3.9999999999997073
2026-04-29,short,658.1825103759766,658.9598459879558,-0.11796403327334337,stop,3.9999999999997073
2026-04-29,short,658.1825103759766,658.9598459879558,-0.11796403327334337,stop,3.9999999999997073
2026-04-29,short,658.1825103759766,658.9598459879558,-0.11796403327334337,stop,3.9999999999997073
2026-04-29,short,658.1825103759766,658.9598459879558,-0.11796403327334337,stop,3.9999999999997073
2026-04-30,short,660.6084564208984,658.043423461914,0.38979691423552953,target,3.0
2026-04-30,short,660.6084564208984,658.043423461914,0.38979691423552953,target,3.0
